AS_REGION_ID,PNODE_ID,DESCRIPTION,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
AS_NP26,SNJSEA_1_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SNJSEA_1_N005,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SNJSEA_1_N101,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLNDRO_1_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLNDRO_1_N014,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLNDRO_1_N017,AS_NP26,,2025-10-15T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-10-15T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLNDRO_1_N027,AS_NP26,,2013-05-09T07:00:00-00:00,2031-01-01T07:59:59-00:00,2013-05-09T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLSOB_1_N023,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLSOB_7_N001,AS_NP26,,2013-07-18T07:00:00-00:00,2031-01-01T07:59:59-00:00,2013-07-18T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLSOB_7_N002,AS_NP26,,2013-07-18T07:00:00-00:00,2031-01-01T07:59:59-00:00,2013-07-18T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLSOB_7_N003,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SNLSPP_2_N023,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SNTAMRA_1_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
